answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
" tree ask besides a lot water and the root impact sewer line food and waste be want inch our garbage to promote the dislocation of garbage in our landfill one will put solar dialog box in when the lightweight , deoxyadenosine monophosphate thin arsenic a while of tinfoil , cheap panel become available",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9783215 0.0216785],[0.66666667 0.33333333],[0.46312085 0.53687915],[0.74680424 0.25319576],[1. 0.],[1. 0.],[0.99040483 0.00959517],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.9845641 0.0154359]
"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01987782 0.98012218],[0. 1.],[0.39781633 0.60218367],[0.13696426 0.86303574],[0. 1.],[0. 1.],[0.00811355 0.99188645],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.01718163 0.98281837]
 what do supply benefit to historically deprived group intend racial equity for the environment unclear of how this be implement oregon how information technology would impact any decision embody make,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9783233 0.0216767],[1. 0.],[0.5 0.5],[0.84552809 0.15447191],[1. 0.],[1. 0.],[0.99359848 0.00640152],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.98733114 0.01266886]
 program that assistant resident and commercial owner abridge water system practice,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97828892 0.02171108],[1. 0.],[0.89219456 0.10780544],[0.90024789 0.09975211],[1. 0.],[1. 0.],[0.988924 0.011076],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97200454 0.02799546]
 catch planting palo verde tree in the city because many multitude equal allergic to them,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97826517 0.02173483],[1. 0.],[0.99379595 0.00620405],[0.8803204 0.1196796],[1. 0.],[1. 0.],[0.98291192 0.01708808],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.95330135 0.04669865]
" deplorably , the unharmed state exist polarize with some people reject climate science the city south campaign will necessitate to be nuanced and inclusive good fortune",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97829066 0.02170934],[1. 0.],[0.57410789 0.42589211],[0.91461501 0.08538499],[1. 0.],[1. 0.],[0.9887727 0.0112273],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.97070526 0.02929474]
"tree planting, green space, restrict new development that requires new water use",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01991235 0.98008765],[0. 1.],[0.05644 0.94356],[0.14895382 0.85104618],[0. 1.],[0. 1.],[0.02699397 0.97300603],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.06375026 0.93624974]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.019947 0.980053],[0.66666667 0.33333333],[0.46312089 0.53687911],[0.27884432 0.72115568],[0. 1.],[0. 1.],[0.04222895 0.95777105],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.06391736 0.93608264]
 this web site make information technology search deoxyadenosine monophosphate if compost computerized tomography be now partner with the city somehow and that some special people toilet carry their pine away to somewhere oregon other what about expand this and advertising information technology in the water bill,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97834216 0.02165784],[1. 0.],[0.46333278 0.53666722],[0.79685554 0.20314446],[1. 0.],[1. 0.],[0.99488218 0.00511782],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.99092002 0.00907998]
"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01988817 0.98011183],[0.33333333 0.66666667],[0.46312085 0.53687915],[0.27734612 0.72265388],[0. 1.],[0. 1.],[0.0077041 0.9922959],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.01673718 0.98326282]
"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01989015 0.98010985],[0. 1.],[0.46179495 0.53820505],[0.18319419 0.81680581],[0. 1.],[0. 1.],[0.00860664 0.99139336],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.01616699 0.98383301]
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01994216 0.98005784],[0.66666667 0.33333333],[0.46305542 0.53694458],[0.25929737 0.74070263],[0. 1.],[0. 1.],[0.04395409 0.95604591],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.07852504 0.92147496]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,-1,1,1,1,1,1,1,1,-1,1,1,[0.01995724 0.98004276],[0.66666667 0.33333333],[0.46133766 0.53866234],[0.28139613 0.71860387],[0. 1.],[0. 1.],[0.06493411 0.93506589],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.09374129 0.90625871]
what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97834515 0.02165485],[0.66666667 0.33333333],[0.4631233 0.5368767],[0.83135115 0.16864885],[1. 0.],[1. 0.],[0.99474374 0.00525626],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.99080858 0.00919142]
thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01987417 0.98012583],[0. 1.],[0.32693124 0.67306876],[0.16043556 0.83956444],[0. 1.],[0. 1.],[0.01120264 0.98879736],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.02543597 0.97456403]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01991726 0.98008274],[0. 1.],[0.26837223 0.73162777],[0.12925248 0.87074752],[0. 1.],[0. 1.],[0.02356353 0.97643647],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.042225 0.957775]
the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97829333 0.02170667],[1. 0.],[0.52412132 0.47587868],[0.8506257 0.1493743],[1. 0.],[1. 0.],[0.98007072 0.01992928],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.94423315 0.05576685]
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97830939 0.02169061],[1. 0.],[0.92828359 0.07171641],[0.86268798 0.13731202],[1. 0.],[1. 0.],[0.98583564 0.01416436],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96103566 0.03896434]
thank you for the survey ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01990742 0.98009258],[0. 1.],[0.00485541 0.99514459],[0.12174472 0.87825528],[0. 1.],[0. 1.],[0.020737 0.979263],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.0496186 0.9503814]
 endow in a green infrastructure will result in job which volition avail the economy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97827892 0.02172108],[1. 0.],[0.99315261 0.00684739],[0.89900768 0.10099232],[1. 0.],[1. 0.],[0.98589663 0.01410337],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99977416e-01 2.25837616e-05],[0.96162546 0.03837454]
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0198904 0.9801096],[0. 1.],[0.09895277 0.90104723],[0.13526063 0.86473937],[0. 1.],[0. 1.],[0.00924276 0.99075724],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[2.12159027e-05 9.99978784e-01],[0.01868669 0.98131331]
