answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02112663 0.97887337],[0.33333333 0.66666667],[0.34391159 0.65608841],[0.12495385 0.87504615],[0. 1.],[0. 1.],[0.0198355 0.9801645],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03873995 0.96126005]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02054601 0.97945399],[0.33333333 0.66666667],[0.3460454 0.6539546],[0.1300834 0.8699166],[0. 1.],[0. 1.],[0.02416428 0.97583572],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03898222 0.96101778]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02048968 0.97951032],[0. 1.],[0.34451532 0.65548468],[0.12588521 0.87411479],[0. 1.],[0. 1.],[0.00949393 0.99050607],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02477226 0.97522774]
the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0221151 0.9778849],[0.33333333 0.66666667],[0.34390292 0.65609708],[0.3150394 0.6849606],[0. 1.],[0. 1.],[0.02600133 0.97399867],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.05750649 0.94249351]
reverse descrimation is still descrimination and just as wrong as any descriminating!,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02046643 0.97953357],[0. 1.],[0.34390892 0.65609108],[0.18848933 0.81151067],[0. 1.],[0. 1.],[0.01187786 0.98812214],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02786898 0.97213102]
no grass orpine trees,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98320262 0.01679738],[1. 0.],[6.25256996e-07 9.99999375e-01],[0.84265525 0.15734475],[1. 0.],[1. 0.],[0.9684976 0.0315024],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.94197679 0.05802321]
stop doing feel good stuff and hire more police to take care of the poor service in tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02039859 0.97960141],[0. 1.],[0.34419865 0.65580135],[0.11841426 0.88158574],[0. 1.],[0. 1.],[0.01686747 0.98313253],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03355707 0.96644293]
"tree planting, green space, restrict new development that requires new water use",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02059206 0.97940794],[0. 1.],[0.34397979 0.65602021],[0.19708317 0.80291683],[0. 1.],[0. 1.],[0.02723229 0.97276771],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03992415 0.96007585]
gratitude for the survey and the efforts of mayor and council ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02081934 0.97918066],[0. 1.],[0.95572644 0.04427356],[0.16159782 0.83840218],[0. 1.],[0. 1.],[0.02013279 0.97986721],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04682747 0.95317253]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02201481 0.97798519],[0.33333333 0.66666667],[0.34394656 0.65605344],[0.24889869 0.75110131],[0. 1.],[0. 1.],[0.04052883 0.95947117],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.08367274 0.91632726]
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02052322 0.97947678],[0. 1.],[0.34390303 0.65609697],[0.2598093 0.7401907],[0. 1.],[0. 1.],[0.01587121 0.98412879],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03970178 0.96029822]
we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02099981 0.97900019],[0.33333333 0.66666667],[0.34390387 0.65609613],[0.13204367 0.86795633],[0. 1.],[0. 1.],[0.01603695 0.98396305],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04001124 0.95998876]
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98360471 0.01639529],[1. 0.],[0.34390143 0.65609857],[0.81116863 0.18883137],[1. 0.],[1. 0.],[0.9835933 0.0164067],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.95040064 0.04959936]
