answer,sentiment,decision_tree,max_entrophy,naive_bayes,max_voting
"those blue coated metal shade structures do provide shade for much of the day  think about revising those or re orienting them so they offer shade throughout the day  if you want to increase bus ridership, do something so people don t bake in our desert sun while they wait for the bus ",1,1,1,1,1
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,-1,1,-1,-1,-1
i believe that climate change is a farce  whatever happened to the science   and i resent the mayor s attempts to make everything into a race issue  america is not a communist country and this is what this mayor wants for us ,-1,-1,-1,-1,-1
"there is a legal method of entering the united states and this mayor encourages sanctuary cities etc, showing her complete disregard for the constitution and american citizens ",-1,-1,-1,-1,-1
"trees require too much water and the roots impact sewer lines  food and waste is needed in our garbage to promote the breakdown of garbage in our landfills  i will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available ",-1,-1,-1,-1,-1
i would like to see the commuter cars china has that are small battery powered cars promoted ,-1,-1,-1,-1,-1
programs that help residents and commercial owners reduce water use ,-1,-1,-1,1,-1
i do my own part  all other citizens and businesses should do their own part as best they can ,-1,-1,-1,-1,-1
my wife and i are both handicapped seniors,-1,-1,-1,-1,-1
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,1,-1,-1,-1,-1
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,1,-1,-1,-1,-1
i will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster before it happens ,1,1,1,1,1
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,-1,-1,-1
water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,1,1,1,1,1
"i m not suggesting just the low hanging fruit, but do celebrate and publicize any successes  tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables ",-1,-1,-1,-1,-1
"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",-1,-1,-1,-1,-1
"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",1,1,1,1,1
thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,1,1,1,1
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",-1,-1,-1,-1,-1
why do hoa s have more authority than the city ,-1,-1,-1,-1,-1
thank you for the survey ,1,1,1,1,1
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,-1,-1,-1,-1
"keep using social media to promote existing cot rebate and other programs, it s an easy way to get the word out  thank you for planning for our future  people and planet   not profit!",1,1,1,1,1
gratitude for the survey and the efforts of mayor and council ,1,1,1,1,1
 tucson for the most function be not walkable what displace be act to encourage lupus erythematosus personal car use while besides looking at guard one be amazed at the act of accident with pedestrian interest black,-1,-1,-1,-1,-1
 ticket for supergrass operating room landscaping urine consumption incl at golf course we wear thymine have enough water and need to be aggressive about protect information technology custom,-1,-1,-1,-1,-1
 i think there should be state tax credit available for this work alike to credit available indiana other state operating room astatine the federal flush for electric vehicle purchase oregon installation of charger infrastructure,-1,-1,-1,-1,-1
 what practice your race have to bash with climate change i count ahead to the sun and inflame so one can suffer a nice tan,-1,-1,-1,-1,-1
 mismanagement of our national afforest be a huge induce for the increase of wildfire,-1,-1,-1,-1,-1
 all construction with water catch gutter and container to decelerate water planted sphere become rid of the heat bubble of black mariner and asphalt,-1,-1,-1,-1,-1
 endow in a green infrastructure will resultant role in job which bequeath assistant the economy,-1,-1,-1,-1,-1
 what department of energy put up benefit to historically disadvantage group bastardly racial equity for the environment ill defined of how this exist enforce oregon how information technology would impact any decision being make,-1,-1,-1,-1,-1
" a resource use constitute a resource use , no matter world health organization use information technology information technology be imperative that we be afford the same equity and opportunity to underrepresented group a to majority group",-1,-1,-1,-1,-1
 the city of tucson mustiness provide defend to their legal citizen ahead back plan for refugee and illegal immigrant,-1,-1,-1,-1,-1
" the city should be careful of test to solve all trouble for the disadvantage many service equal successfully provide aside nongovernmental organization not profit information technology be not the city sulfur function to be a social service agency , nor to play robin hood",-1,-1,-1,-1,-1
 my natural flatulence poster be systematically the most cheap bill one get why aren triiodothyronine there more question along affordability,-1,-1,-1,-1,-1
 stop planting palo verde tree in the city because many multitude be allergic to them,-1,-1,1,1,1
" what do you average by `` advertise   offer tax incentive again , your linguistic process be so incredibly fuzzed one learn this angstrom more of the same government rhetoric design to cause information technology look comparable person be serve something , to make information technology possible to consume meet , committee , and paper write , to become publicity , and to carry through absolutely nothing for the people",-1,-1,-1,-1,-1
 iodine don t see how a massive tree planting course of study for the city can ever beryllium successful until a solution for this trouble embody discover,-1,-1,-1,-1,-1
 no pot orpine tree,-1,-1,-1,-1,-1
 this web site make information technology count adenine if compost guy exist now partner with the city somehow and that some especial people can take their waste to somewhere operating room other what about boom this and advertise information technology in the body of water bill,-1,-1,-1,-1,-1
 three einsteinium scoter litter the landscape and sidewalk and be not a dependable solution for many of u boom the unaccented rail better the bus service and advertise information technology,-1,-1,-1,-1,-1
 one feel this whole sketch and the mayor randomness attempt to give government excessively much space indiana our populate be not astatine all beneficial to tucsonans about of these issue should not be address aside government,-1,-1,-1,-1,-1
 one believe that climate change be a forcemeat any happen to the science and i begrudge the mayor mho try to make everything into a race issue united states be not a communist country and this constitute what this mayor need for u,-1,-1,-1,-1,-1
" there be a legal method of embark the unite state and this mayor encourage refuge city etc , prove her dispatch dismiss for the constitution and american english citizen",-1,-1,-1,-1,-1
" tree necessitate excessively much water and the root impact sewer trace food and lay waste to be need in our drivel to promote the breakdown of drivel indium our landfill one volition put solar panel in when the lightweight , adenine thin arsenic a musical composition of tinfoil , cheap gore become available",-1,-1,-1,-1,-1
 iodine would wish to attend the commuter car china take that exist small battery power car promote,-1,-1,-1,-1,-1
 program that avail house physician and commercial owner reduce water use,-1,1,-1,-1,-1
 iodine make my own contribution all other citizen and business should perform their own character a good they can,-1,-1,-1,-1,-1
 my wife and one equal both disabled elder,-1,-1,-1,-1,-1
" one megabyte not suggest precisely the depleted hang fruit , merely cause lionize and advertise any achiever tucson embody a complex community with house physician of many backdrop , level of education , long time , income , ethnicity and other variable",-1,-1,-1,-1,-1
" deplorably , the unharmed nation embody polarize with some people reject climate science the city second campaign will need to be nuanced and inclusive good luck",-1,-1,-1,-1,-1
" common sense be hard to find recycle phoenix waste urine , establish tree , harvest sun and rain , electrify bus rout no battery don deoxythymidine monophosphate put on a super hero cape and paradiddle out black policy indium the name of the environment",-1,-1,-1,-1,-1
 why do hoa mho take more authority than the city,-1,-1,-1,-1,-1
