Answer,Question,Sentiment
"Our homelessness issues are more complex than supporting affordable housing. Increased mental health/public health options for the homeless (or nearly homeless) need to be available. Also, public showers, places where people can get clean clothes, counciling, etc. And understanding the many types of homeless people.",3,Positive
"Step 1: Transparency, honesty and equity in the bid and contracting process for all departments. ",3,Positive
Reverse descrimation is still descrimination and just as wrong as any descriminating!,3,Negative
"Have more programs like Las Milpitas that's through the Food Bank. While there are community gardens around town, they are expensive and not very accessible. Promoting local food production for individual households will improve food security and reduce our community's carbon footprint.",3,Negative
"The City should be careful of trying to solve all problems for the disadvantaged. Many services are successfully provided by NGOs/non-profits. It is not the City's role to be a social service agency, nor to play Robin Hood.",3,Negative
"I support human development, not segregated development. We are all one on this planet and anyone trying to put us against each other is not for human kind but for him or her self. We have to stop the madness of bashing each other and come together for a great Tucson future.",3,Negative
Affordability. We need to protect the most vulnerable populations by providing affordable essential services. You cannot just charge people so much for energy. Rooftop solar is great. It's also very expensive. My natural gas bill is consistently the most inexpensive bill I get. Why aren't there more questions on affordability?,3,Neutral
Low income neighborhoods should not be the only focus of tree-planting and cool roof/pavements. This is a city wide proplemsand ALL areas of Tucson need to be implemented with these infrastructures. Why would this include only low income areas?,3,Neutral
Stop planting palo verde trees in the city because many people are allergic to them. ,4,Negative
What do you mean by "promote"? Offering tax incentives? ,4,Negative
"Again, your language is so incredibly fuzzy. I see this as more of the same government rhetoric designed to make it look like someone is doing something, to make it possible to have meetings, committees, and papers written, to get publicity, and to accomplish absolutely nothing for the people.",4,Negative
Work with HOAs that require plants to either reduce required number of plants and/or promote desert plants that do not use much water. More regulation on golf courses that are using large amounts of water. ,4,Positive
Reduce cost of solar panels. Work with HOAs to promote use of solar panels.,4,Positive
China changes out electric car batteries at changing stations which eliminates waiting long periods to charge and the need for a huge number of charging stations. ,4,Positive
Roller shields and solar tube lighting should be promoted.,4,Positive
"The best way a government can facilitate equity in a society is by providing an excellent public education to every one. Not only K-12 but also community college. They should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living.",4,Positive
it seems to me that the reason some parts of town are so barren is that the residents are low income and do not have the disposable income to use to pay for more than the bare minimum of water. I don't see how a massive tree planting program for the city can ever be successful until a solution for this problem is found. ,4,Neutral
Maybe start with drought adapted native street trees that are watered at city expense? or charge low income residents low water fees if they plant desert trees?,4,Positive
No grass orpine trees,4,Negative
Legalize and promote humanure (composting of human waste on site rather than flushing 10 gallons of precious drinking water a day!),4,Positive
"green buildings (living walls, rooftop gardens, local energy production, local water and energy reuse)",4,Positive
"Please discourage planting green grass in a desert and stop planting new green grass in unnecessary places. Green grass is awful, non-native and uses so much water. ",4,Negative
"Native landscaping uses much less water, and still provides cooling effects, CO2 exchange and shade.",4,Positive
"1. Recycling and composting: I do recycle plastic (as allowed), newspapers, office paper, mailings, cardboard. I also am collecting glass to take to the Ward 6 office for recycling. And I take my grocery store plastic bags back to the grocery store in case they really do recycle them. I do not compost because I don't have a use for it. I'm concerned that a city-wide compost pick-up system would end up with a lot of non-compostable waste, cause problems with some of our urban wildlife such as javelinas, and not be picked up often enough. INSTEAD -- IF there was a place close to me that I could take compostable waste (food waste, yard waste) and that place was open several days a week -- I would collect my compostable waste and take it there. I think the UA Compost Cats had a place that one can take compost -- but it looks as if is shut down. This website makes it look as if Compost Cats is now partnering with the City somehow and that some special people can take their waste to someplace or other. What about expanding this? And advertising it in the water bill? https://sustainability.arizona.edu/projects/compost-cats",5,Negative
"2. Restaurants and take-out -- it would be GREAT if the City would encourage restaurants and take out places to use compostable containers. During this pandemic, I am trying to support the local restaurants that I used to go to for sit-down dining, coffee, etc. (and want to continue to go to!). However, the containers the food comes in is often styrofoam or plastic containers. I don't have a use for the styrofoam cups and containers -- and I am drowning in lidded plastic containers. I wish I knew of a place to give the plastic containers away -- I have way more than I need to store food, keep leftovers, etc. And putting those reusable plastic containers into the recycle seems a terrible waste.",5,Positive
3. E-scooters litter the landscape and sidewalks and are not a good solution for many of us. Expand the light-rail. Improve the bus service and advertise it.,5,Negative
"4. Buses -- FIX the shade structures at bus stops. Have you looked at those upside-down umbrellas at bus stops along the expanded Grant Road project west of First/Euclid? Whenever I pass them, there is NO SHADE under them. Stop installing non-functioning architectural wonders by bus stops and put in real shade structures instead. Those blue coated-metal shade structures DO provide shade for much of the day. Think about revising those or re-orienting them so they offer shade throughout the day. If you want to increase bus ridership, do something so people don't bake in our desert sun while they wait for the bus.",5,Negative
"I feel this whole survey and the mayor's attempts to give government too much space in our lives is not at all beneficial to Tucsonans. Most of these issues should not be addressed by government. I believe that climate change is a farce (whatever happened to the science?) and I resent the mayor's attempts to make everything into a race issue. America is not a communist country and this is what this mayor wants for us. There is a legal method of entering the United States and this mayor encourages sanctuary cities etc, showing her complete disregard for the Constitution and American citizens.",5,Negative
Trees require too much water and the roots impact sewer lines. ,5,Negative
Food and waste is needed in our garbage to promote the breakdown of garbage in our landfills. ,5,Neutral
"I will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available. ",5,Neutral
I would like to see the commuter cars China has that are small battery powered cars promoted.,5,Positive
Programs that help residents and commercial owners reduce water use.,5,Positive
I do my own part. All other citizens and businesses should do their own part as best they can. ,5,Positive
My wife and I are both handicapped seniors,5,Positive
I live in Barrio Viejo and would love to see all of the above. ,5,Positive
We need sidewalks/walking paths and shade. ,5,Positive
A community garden with rentable plots like in other cities would be welcomed.,5,Positive
I would like to make a green space in the facinity of my own home and take responsibility into my own hands,5,Positive
I will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster BEFORE it happens. ,5,Positive
"I already have solar panels, I have several citrus trees and many rose bushes. I do what I can ",5,Positive
Water is a much bigger problem than this survey really allowed for. Please take into account the reality of our overuse of water and the decreasing availability of it???there won???t be more for us to take eg from the Colorado,6,Negative
"I'm not suggesting just the low hanging fruit, but do celebrate and publicize any successes. Tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables. Sadly, the whole country is polarized with some people rejecting climate science. The City's effort will need to be nuanced and inclusive. Good luck.",6,Neutral
"Hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants.",6,Positive
Thank you for implementing this! I am very appreciative! I look forward in getting involved.,6,Positive
"Common sense is hard to find. Reuse Phoenix waste water, plant trees, harvest sun and rain, electrify bus routes (no batteries).  ",6,Positive
Don't put on a super hero cape and roll out disastrous policies in the name of the environment. ,6,Negative
Why do HOA's have more authority than the City?,6,Negative
Thank you for the survey. ,6,Positive
Thank you for your progressive policies. This is one of the big reasons why I decided to move my family to Tucson. ,6,Positive
"Keep using social media to promote existing COT rebate and other programs, it's an easy way to get the word out. Thank you for planning for our future. People and Planet - not profit!",6,Positive
Gratitude for the survey and the efforts of mayor and council. ,6,Positive
