sentiment,answer,length,cc,vbp,cd,dt,ex,fw,inn,jj,jjr,jjs,md,nn,nns,pdt,prp,rb,rbr,rp,to,vb,vbd,vbn,vbz,wdt,wp,wrb,pos_length,neg_length,pos_acumulado,neg_acumulado,polarity,cant_caracteres
Positivo,"aside from vehicular emissions, heating cooling residences will be a huge opportunity to reduce energy consumption  we need to create strong incentives for people to have energy efficiency work done on existing structures ",33,0,1,0,1,0,0,3,3,0,0,1,6,5,0,0,1,0,0,3,4,3,1,0,0,0,0,2,0,0.8333333333333334,0.0,0.4166666666666667,222
Negativo,i think there should be state tax credits available for this work   similar to credits available in other states or at the federal level for electric vehicle purchase or installation of charger infrastructure ,33,2,1,0,2,1,0,5,6,0,0,1,10,3,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0.8,-0.125,0.16875,209
Negativo,what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,25,1,2,0,2,0,0,1,3,0,0,1,6,0,0,1,2,0,0,2,2,0,0,1,0,1,0,1,0,0.6,0.0,0.6,110
Negativo,mismanagement of our national forests is a huge cause for the increase of wildfires ,14,0,0,0,2,0,0,3,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4000000000000001,0.0,0.4000000000000001,84
Positivo,we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,39,1,2,0,1,0,0,5,1,0,0,1,12,3,0,1,1,0,0,2,5,1,1,0,0,0,0,0,3,0.0,-0.3,-0.09999999999999999,202
Negativo,all buildings with water catching gutters and containers to slow water planted areas  get rid of the heat bubble of black tar and asphalt ,24,2,1,0,2,0,0,3,2,0,0,0,6,4,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0.6,-0.4666666666666667,0.044444444444444425,138
Negativo,investing in a green infrastructure will result in jobs which will help the economy ,14,0,0,0,2,0,0,2,1,0,0,2,2,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.0,-0.2,-0.2,84
Positivo,more abundant public education on climate change and economic and quality of life co benefits of mitigating and adapting to climate change ,22,3,0,0,0,0,0,3,4,0,0,0,7,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,0,1.3,0.0,0.325,139
Positivo,"more robust public awareness campaigns during extreme heat season  better drought emergency preparednes, put in mandatory measures at lower drought stages, to better prepare tucson residents for potential water shortages ",30,0,0,0,0,0,0,4,6,2,0,0,7,6,0,0,0,2,0,1,1,0,1,0,0,0,0,3,1,1.5,-0.125,0.22916666666666666,221
Positivo,far more extensive public involvement in climate change planning  enhanced city county cooperation and coordination on climate planning  don t count on tree planting as a panacea ,27,1,0,0,1,0,0,4,3,0,0,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0.6,0.0,0.15,179
Negativo,what does provide benefits to historically disadvantaged groups mean  racial equity for the environment  unclear of how this is implemented or how it would impact any decisions being made ,29,1,1,0,3,0,0,2,1,0,0,1,3,3,0,0,1,0,0,1,3,1,2,2,0,1,2,0,1,0.0,-0.3125,-0.15625,188
Positivo,need residential solar subsidies and more smaller housing options around 1100 1500 sq feet  not multi family ,17,1,0,2,0,0,0,1,2,2,0,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.0,0.25,109
Positivo,the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,38,0,0,0,4,0,0,2,4,0,0,2,10,5,0,2,0,1,0,0,2,3,0,2,1,0,1,1,3,0.5,-1.4,-0.18,231
Positivo,"water is the  1 long term concern, but not due to this  we need a state wide solution  look to israel  we need to take phoenix s waste water, treat it and have farmers irrigate with that instead of the potable water they steal ",44,2,4,1,5,0,0,2,4,0,0,0,11,2,0,0,2,0,0,3,3,0,0,1,0,0,0,0,4,0.0,-0.47500000000000003,-0.07187500000000001,227
Positivo,"have a volunteer base who can help teach these strategies, so they can apply them within the community ",18,0,0,0,3,0,0,2,0,0,0,2,3,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0.0,-0.8,-0.8,103
Positivo,"have a volunteer group receiving az benefits such as unemployment, be required to learn and implement some of these strategies within our city ",23,1,0,0,3,0,0,3,2,0,0,0,4,2,0,1,0,0,0,1,4,1,1,0,0,0,0,0,0,0.0,0.0,0.0,143
Positivo,"explain why things are being changed, to create buy in from the community  ",13,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0.0,0.0,0.0,75
Negativo,"a resource used is a resource used, no matter who uses it  it is imperative that we are affording the same equities and opportunities to underrepresented groups as to majority groups ",31,1,1,0,4,0,0,2,3,0,0,0,4,4,0,0,0,0,0,2,0,1,2,3,0,1,0,0,0,0.0,0.0,0.0,183
Positivo,"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",37,2,2,0,3,0,0,6,3,0,0,1,9,4,0,0,2,0,0,1,1,2,0,0,0,0,0,2,1,1.0333333333333332,-0.2,0.27777777777777773,243
Positivo,"also, i support tree planting re greening but must emphasize it be planned in collaboration with ecologists botanists so that a  appropriate species and b  appropriate localities for growth be maximized ",31,2,0,0,1,0,0,4,4,0,0,1,5,4,0,0,2,0,0,0,4,1,2,0,0,0,0,2,0,1.0,0.0,0.5,203
Negativo,the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,19,1,0,0,1,0,0,3,2,0,0,1,3,4,0,1,0,0,0,1,1,1,0,0,0,0,0,2,1,0.45,-0.5,-0.016666666666666663,126
Positivo,"our homelessness issues are more complex than supporting affordable housing  increased mental health public health options for the homeless need to be available  also, public showers, places where people can get clean clothes, counciling, etc ",35,0,1,0,1,0,1,2,7,0,0,1,6,6,0,1,1,1,0,1,2,2,0,0,0,0,1,4,2,1.5166666666666666,-0.4,0.13958333333333334,243
Positivo,"step 1  transparency, honesty and equity in the bid and contracting process for all departments  ",15,2,0,1,2,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,97
Positivo,reverse descrimation is still descrimination and just as wrong as any descriminating!,12,1,0,0,1,0,0,1,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0.0,-0.5,-0.625,85
Positivo,"have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible ",26,1,3,0,1,1,0,4,2,0,0,0,4,4,0,0,2,1,0,0,1,0,0,0,1,0,0,3,1,1.075,-0.5,-0.04807692307692307,157
Positivo,promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,18,1,1,0,0,0,0,1,2,0,0,1,7,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,130
Negativo,"the city should be careful of trying to solve all problems for the disadvantaged  many services are successfully provided by ngos non profits  it is not the city s role to be a social service agency, nor to play robin hood ",41,1,1,0,5,0,0,3,6,0,0,1,7,3,0,0,2,0,0,3,4,1,2,1,0,0,0,3,1,1.2833333333333334,-0.1,0.29583333333333334,223
Positivo,"i support human development, not segregated development  we are all one on this planet and anyone trying to put us against each other is not for human kind but for him or her self  we have to stop the madness of bashing each other and come together for a great tucson future ",52,4,2,1,6,0,0,6,5,0,0,0,11,0,0,1,3,0,0,2,3,2,1,1,0,0,0,2,2,1.4,-0.25,0.16428571428571428,275
Positivo,affordability  we need to protect the most vulnerable populations by providing affordable essential services  you cannot just charge people so much for energy  rooftop solar is great  it s also very expensive ,33,0,1,0,1,0,0,2,6,0,0,1,5,3,0,0,5,0,0,1,1,1,0,2,0,0,0,4,2,1.7,-1.0,0.05833333333333333,209
Negativo,my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability ,20,0,1,0,1,0,0,1,3,0,0,0,5,1,0,1,2,1,0,0,0,0,0,2,0,0,1,4,0,1.35,0.0,0.3375,118
Positivo,low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas ,41,1,1,0,6,0,0,3,6,0,0,2,8,5,0,0,2,0,0,1,3,0,1,1,0,0,1,1,1,0.35,-0.1,0.041666666666666664,244
Negativo,stop planting palo verde trees in the city because many people are allergic to them ,15,0,1,0,1,0,0,2,3,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.5,0.0,0.5,84
Negativo,"what do you mean by ""promote""  offering tax incentives  again, your language is so incredibly fuzzy  i see this as more of the same government rhetoric designed to make it look like someone is doing something, to make it possible to have meetings, committees, and papers written, to get publicity, and to accomplish absolutely nothing for the people ",58,2,2,0,3,0,0,5,3,1,0,0,10,5,0,1,4,0,0,5,7,2,2,2,0,1,0,3,1,1.5999999999999999,-0.3125,0.21458333333333332,350
Positivo,work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,24,2,1,0,1,0,0,2,2,0,0,0,5,3,0,0,1,0,0,1,3,0,0,1,2,0,0,1,0,0.2,0.0,0.2,134
Positivo,more regulation on golf courses that are using large amounts of water  reduce cost of solar panels  work with hoas to promote use of solar panels ,26,0,2,0,0,0,0,5,3,1,0,0,5,5,0,0,0,0,0,1,2,1,0,0,1,0,0,2,0,0.7142857142857143,0.0,0.35714285714285715,146
Positivo,china changes out electric car batteries at changing stations which eliminates waiting long periods to charge and the need for a huge number of charging stations  roller shields and solar tube lighting should be promoted ,35,2,0,0,2,0,0,3,3,0,0,1,7,6,0,0,1,0,1,1,2,3,1,1,1,0,0,1,1,0.4000000000000001,-0.05,0.17500000000000004,221
Positivo,"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",80,4,0,2,13,0,0,9,7,0,1,5,15,4,0,0,4,0,0,2,7,1,1,2,0,0,0,3,0,2.1,0.0,0.2625,442
Positivo,it seems to me that the reason some parts of town are so barren is that the residents are low income and do not have the disposable income to use to pay for more than the bare minimum of water,40,1,3,0,5,0,0,6,4,1,0,0,6,2,0,0,2,0,0,3,3,0,0,2,0,0,0,2,0,0.55,0.0,0.18333333333333335,192
Negativo,i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,25,0,1,0,4,0,0,3,4,0,0,1,5,0,0,0,1,0,0,0,2,1,1,1,0,0,1,1,0,0.75,0.0,0.375,127
Positivo,maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,27,1,1,0,0,0,0,3,3,0,0,0,10,4,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0.0,160
Negativo,no grass orpine trees,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,21
Positivo,legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,21,1,0,1,1,0,0,4,3,0,0,0,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0.5,-0.2,0.14166666666666666,131
Positivo,"green buildings  living walls, rooftop gardens, local energy production, local water and energy reuse ",14,1,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,-0.2,-0.06666666666666667,102
Positivo,"please discourage planting green grass in a desert and stop planting new green grass in unnecessary places  green grass is awful, non native and uses so much water ",28,2,0,0,1,0,0,2,9,0,0,0,7,1,0,0,1,0,0,0,1,2,0,2,0,0,0,2,5,0.33636363636363636,-2.0,-0.23766233766233769,164
Positivo,"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",15,2,0,0,0,0,0,0,3,1,0,0,4,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0.2,-0.16666666666666666,-0.16666666666666666,100
Positivo,"1  recycling and composting  i do recycle plastic  as allowed , newspapers, office paper, mailings, cardboard  i also am collecting glass to take to the ward 6 office for recycling  and i take my grocery store plastic bags back to the grocery store in case they really do recycle them ",49,2,4,2,2,0,0,3,0,0,0,0,16,5,0,1,4,0,0,3,2,2,1,0,0,0,0,1,0,0.2,0.0,0.1,285
Positivo,"i do not compost because i don t have a use for it  i m concerned that a city wide compost pick up system would end up with a lot of non compostable waste, cause problems with some of our urban wildlife such as javelinas, and not be picked up often enough  ",52,1,3,0,4,0,0,8,5,0,0,1,9,5,0,1,4,0,3,0,4,0,1,1,0,0,0,0,2,0.0,-0.30000000000000004,-0.06000000000000001,257
Positivo,"if there was a place close to me that i could take compostable waste  food waste, yard waste  and that place was open several days a week    i would collect my compostable waste and take it there  i think the ua compost cats had a place that one can take compost    but it looks as if is shut down ",59,3,1,1,5,1,0,5,5,0,0,3,13,2,0,1,3,0,1,1,4,0,1,3,0,0,0,0,5,0.0,-0.9555555555555556,-0.13650793650793652,298
Negativo,this website makes it look as if compost cats is now partnering with the city somehow and that some special people can take their waste to someplace or other  what about expanding this  and advertising it in the water bill   ,40,3,0,0,5,0,0,6,3,0,0,1,8,2,0,1,1,0,0,1,2,2,0,2,0,1,0,1,2,0.35714285714285715,-0.325,0.010714285714285713,280
Positivo,"2  restaurants and take out    it would be great if the city would encourage restaurants and take out places to use compostable containers  during this pandemic, i am trying to support the local restaurants that i used to go to for sit down dining, coffee, etc   and want to continue to go to!  however, the containers the food comes in is often styrofoam or plastic containers ",66,4,2,1,5,0,1,5,7,0,0,2,5,7,0,0,2,0,3,7,10,1,0,2,0,0,0,1,1,0.8,-0.15555555555555559,0.20185185185185187,379
Positivo,"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",59,3,7,0,7,0,1,5,5,1,0,0,11,7,0,0,2,0,0,2,4,2,1,1,0,0,0,1,2,0.5,-1.2,-0.2333333333333333,322
Negativo,3  e scooters litter the landscape and sidewalks and are not a good solution for many of us  expand the light rail  improve the bus service and advertise it ,29,3,3,1,4,0,0,2,3,0,0,0,6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,1.6,0.0,0.18333333333333335,157
Positivo,"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",56,1,3,1,4,1,0,8,7,0,0,0,11,8,0,0,2,0,0,0,1,2,3,1,0,0,0,2,1,0.45,-0.15555555555555559,0.09814814814814814,331
Positivo,"those blue coated metal shade structures do provide shade for much of the day  think about revising those or re orienting them so they offer shade throughout the day  if you want to increase bus ridership, do something so people don t bake in our desert sun while they wait for the bus ",53,1,7,0,5,0,0,9,4,0,0,0,11,2,0,1,1,0,0,1,4,2,1,0,0,0,0,1,0,0.2,0.0,0.1,286
Negativo,i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,36,1,1,0,4,0,0,4,3,0,1,1,7,4,0,1,3,0,0,2,2,0,1,1,0,0,0,3,0,0.9,0.0,0.3,195
Negativo,i believe that climate change is a farce  whatever happened to the science   and i resent the mayor s attempts to make everything into a race issue  america is not a communist country and this is what this mayor wants for us ,42,2,2,0,7,0,0,3,2,0,0,0,13,1,0,0,1,0,0,2,1,0,0,4,1,1,0,1,1,0.2,-0.4,-0.1,225
Negativo,"there is a legal method of entering the united states and this mayor encourages sanctuary cities etc, showing her complete disregard for the constitution and american citizens ",27,2,1,0,4,1,0,2,5,0,0,0,4,3,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0.30000000000000004,0.0,0.10000000000000002,176
Negativo,"trees require too much water and the roots impact sewer lines  food and waste is needed in our garbage to promote the breakdown of garbage in our landfills  i will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available ",48,2,4,0,4,0,0,6,5,1,0,1,9,6,0,2,2,0,0,1,2,0,1,1,0,0,1,2,2,0.6000000000000001,-0.6000000000000001,0.0,273
Negativo,i would like to see the commuter cars china has that are small battery powered cars promoted ,17,0,2,0,1,0,0,0,2,0,0,1,3,2,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0.0,-0.25,-0.25,93
Negativo,programs that help residents and commercial owners reduce water use ,10,1,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,68
Negativo,i do my own part  all other citizens and businesses should do their own part as best they can ,19,1,1,0,1,0,0,2,3,0,0,2,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,2.2,-0.125,0.51875,94
Negativo,my wife and i are both handicapped seniors,8,1,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,42
Positivo,i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,34,2,2,0,3,0,0,6,3,0,0,2,4,4,0,0,0,0,0,1,4,1,1,0,0,0,0,2,1,0.6363636363636364,-0.125,0.1278409090909091,184
Positivo,i would like to make a green space in the facinity of my own home and take responsibility into my own hands,22,1,0,0,2,0,0,3,3,0,0,1,5,1,0,2,0,0,0,1,3,0,0,0,0,0,0,2,1,1.2,-0.2,0.3333333333333333,107
Positivo,i will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster before it happens ,20,0,0,0,1,0,0,3,2,0,1,1,3,0,0,0,0,0,0,1,1,1,0,2,1,0,0,2,0,1.3,0.0,0.65,130
Positivo,"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",19,1,3,0,0,0,0,0,4,0,0,1,2,4,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1.1,0.0,0.3666666666666667,94
Positivo,water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,41,1,0,0,5,1,0,8,1,2,0,0,11,0,0,1,3,0,0,1,3,0,1,1,0,0,0,3,0,0.9,0.0,0.2333333333333333,221
Negativo,"i m not suggesting just the low hanging fruit, but do celebrate and publicize any successes  tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables ",35,3,2,0,3,0,0,3,4,0,0,0,8,6,0,0,2,0,0,0,2,1,0,1,0,0,0,1,2,0.5,-0.425,0.018750000000000003,223
Negativo,"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",25,1,0,0,3,0,0,1,3,0,0,1,7,1,0,0,1,0,0,1,2,1,2,1,0,0,0,2,1,0.8999999999999999,-0.5,0.13333333333333333,151
Positivo,"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",22,3,1,0,0,0,0,1,4,0,0,0,4,3,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0.0,0.0,0.0,146
Positivo,thank you for implementing this! i am very appreciative! i look forward in getting involved ,15,0,2,0,1,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0.8,0.0,0.9750000000000001,92
Negativo,"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",40,2,1,0,4,0,0,3,6,0,1,0,13,3,0,0,0,0,1,1,2,0,1,2,0,0,0,1,4,0.3333333333333333,-1.4916666666666667,-0.2316666666666667,224
Negativo,why do hoa s have more authority than the city ,10,0,2,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.5,0.0,0.5,47
Positivo,thank you for the survey ,5,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25
Positivo,thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,22,0,0,1,2,0,0,2,2,0,0,0,3,2,0,2,0,0,0,2,2,0,0,1,0,0,1,0,0,0.0,0.0,0.0,114
Positivo,"keep using social media to promote existing cot rebate and other programs, it s an easy way to get the word out  thank you for planning for our future  people and planet   not profit!",34,2,0,0,2,0,0,2,5,0,0,0,6,3,0,1,1,0,1,2,3,3,0,0,0,0,0,2,1,0.4666666666666667,-0.125,0.08541666666666667,183
Positivo,gratitude for the survey and the efforts of mayor and council ,11,2,0,0,2,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,62
