sentiment,answer,dt,jj,md,nn,nns,prp,rb,to,vbz,wdt
Negativo,"what do you mean by ""promote""  offering tax incentives  again, your language is so incredibly fuzzy  i see this as more of the same government rhetoric designed to make it look like someone is doing something, to make it possible to have meetings, committees, and papers written, to get publicity, and to accomplish absolutely nothing for the people ",3,3,0,10,5,1,4,5,2,0
Positivo,work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,2,0,5,3,0,1,1,1,2
Positivo,more regulation on golf courses that are using large amounts of water  reduce cost of solar panels  work with hoas to promote use of solar panels ,0,3,0,5,5,0,0,1,0,1
Positivo,china changes out electric car batteries at changing stations which eliminates waiting long periods to charge and the need for a huge number of charging stations  roller shields and solar tube lighting should be promoted ,2,3,1,7,6,0,1,1,1,1
Positivo,"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",13,7,5,15,4,0,4,2,2,0
Positivo,it seems to me that the reason some parts of town are so barren is that the residents are low income and do not have the disposable income to use to pay for more than the bare minimum of water,5,4,0,6,2,0,2,3,2,0
Negativo,i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found ,4,4,1,5,0,0,1,0,1,0
Positivo,maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,0,3,0,10,4,0,1,0,0,1
Negativo,no grass orpine trees,1,0,0,2,1,0,0,0,0,0
Positivo,legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! ,1,3,0,8,1,0,1,0,0,0
Positivo,"green buildings  living walls, rooftop gardens, local energy production, local water and energy reuse ",0,3,0,6,3,0,0,0,0,0
Positivo,"please discourage planting green grass in a desert and stop planting new green grass in unnecessary places  green grass is awful, non native and uses so much water ",1,9,0,7,1,0,1,0,2,0
Positivo,"native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade ",0,3,0,4,1,0,2,0,2,0
Positivo,"1  recycling and composting  i do recycle plastic  as allowed , newspapers, office paper, mailings, cardboard  i also am collecting glass to take to the ward 6 office for recycling  and i take my grocery store plastic bags back to the grocery store in case they really do recycle them ",2,0,0,16,5,1,4,3,0,0
Positivo,"i do not compost because i don t have a use for it  i m concerned that a city wide compost pick up system would end up with a lot of non compostable waste, cause problems with some of our urban wildlife such as javelinas, and not be picked up often enough  ",4,5,1,9,5,1,4,0,1,0
Positivo,"if there was a place close to me that i could take compostable waste  food waste, yard waste  and that place was open several days a week    i would collect my compostable waste and take it there  i think the ua compost cats had a place that one can take compost    but it looks as if is shut down ",5,5,3,13,2,1,3,1,3,0
Negativo,this website makes it look as if compost cats is now partnering with the city somehow and that some special people can take their waste to someplace or other  what about expanding this  and advertising it in the water bill   ,5,3,1,8,2,1,1,1,2,0
Positivo,"2  restaurants and take out    it would be great if the city would encourage restaurants and take out places to use compostable containers  during this pandemic, i am trying to support the local restaurants that i used to go to for sit down dining, coffee, etc   and want to continue to go to!  however, the containers the food comes in is often styrofoam or plastic containers ",5,7,2,5,7,0,2,7,2,0
Positivo,"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",7,5,0,11,7,0,2,2,1,0
Negativo,3  e scooters litter the landscape and sidewalks and are not a good solution for many of us  expand the light rail  improve the bus service and advertise it ,4,3,0,6,2,0,1,0,0,0
Positivo,"4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead ",4,7,0,11,8,0,2,0,1,0
Positivo,"those blue coated metal shade structures do provide shade for much of the day  think about revising those or re orienting them so they offer shade throughout the day  if you want to increase bus ridership, do something so people don t bake in our desert sun while they wait for the bus ",5,4,0,11,2,1,1,1,0,0
Negativo,i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,4,3,1,7,4,1,3,2,1,0
Negativo,i believe that climate change is a farce  whatever happened to the science   and i resent the mayor s attempts to make everything into a race issue  america is not a communist country and this is what this mayor wants for us ,7,2,0,13,1,0,1,2,4,1
Negativo,"there is a legal method of entering the united states and this mayor encourages sanctuary cities etc, showing her complete disregard for the constitution and american citizens ",4,5,0,4,3,1,0,0,2,0
Negativo,"trees require too much water and the roots impact sewer lines  food and waste is needed in our garbage to promote the breakdown of garbage in our landfills  i will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available ",4,5,1,9,6,2,2,1,1,0
Negativo,i would like to see the commuter cars china has that are small battery powered cars promoted ,1,2,1,3,2,0,0,1,1,1
Negativo,programs that help residents and commercial owners reduce water use ,0,1,0,2,3,0,0,0,0,1
Negativo,i do my own part  all other citizens and businesses should do their own part as best they can ,1,3,2,3,2,2,0,0,0,0
Negativo,my wife and i are both handicapped seniors,1,1,0,2,1,1,0,0,0,0
Positivo,i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,3,3,2,4,4,0,0,1,0,0
Positivo,i would like to make a green space in the facinity of my own home and take responsibility into my own hands,2,3,1,5,1,2,0,1,0,0
Positivo,i will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster before it happens ,1,2,1,3,0,0,0,1,2,1
Positivo,"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",0,4,1,2,4,0,1,0,0,0
Positivo,water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of it there wont be more for us to take eg from the colorado,5,1,0,11,0,1,3,1,1,0
Negativo,"i m not suggesting just the low hanging fruit, but do celebrate and publicize any successes  tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables ",3,4,0,8,6,0,2,0,1,0
Negativo,"sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck   ",3,3,1,7,1,0,1,1,1,0
Positivo,"hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants ",0,4,0,4,3,0,0,1,1,0
Positivo,thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,2,0,2,0,0,2,0,0,0
Negativo,"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",4,6,0,13,3,0,0,1,2,0
Negativo,why do hoa s have more authority than the city ,1,0,0,2,1,0,0,0,0,0
Positivo,thank you for the survey ,1,0,0,2,0,0,0,0,0,0
Positivo,thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,2,2,0,3,2,2,0,2,1,0
Positivo,"keep using social media to promote existing cot rebate and other programs, it s an easy way to get the word out  thank you for planning for our future  people and planet   not profit!",2,5,0,6,3,1,1,2,0,0
Positivo,gratitude for the survey and the efforts of mayor and council ,2,0,0,4,1,0,0,0,0,0
Negativo, tucson for the most part embody not walkable what toilet constitute do to encourage lupus erythematosus personal car use while besides looking astatine safety one master of arts amaze astatine the number of accident with pedestrian interest black,2,6,0,13,2,0,1,1,0,0
Negativo, very well for grass operating room landscape body of water use incl at golf course we don t give birth adequate water and indigence to constitute aggressive about protect information technology use,0,5,0,16,0,0,2,1,0,0
Negativo, one think there should be state tax credit available for this function like to credits available in other submit oregon astatine the federal degree for electric fomite buy operating room initiation of charger infrastructure,2,6,1,13,1,0,0,1,0,0
Negativo, what department of energy your raceway have to do with climate change i expect forward to the sunlight and heat so one displace get down a dainty tan,2,0,0,11,1,1,1,2,0,0
Negativo, mismanagement of our national forest be a huge lawsuit for the increase of wildfire,2,2,0,5,0,1,0,0,0,0
Negativo, all build with water system catch gutter and container to dense water planted area get rid of the heating system bubble of black mariner and asphalt,2,3,0,11,0,0,0,1,0,0
Negativo, endow in a green infrastructure will result in job which volition avail the economy,2,1,1,5,0,0,0,0,0,1
Negativo, what do supply benefit to historically deprived group intend racial equity for the environment unclear of how this be implement oregon how information technology would impact any decision embody make,3,2,1,8,0,0,1,1,0,0
Negativo," a resource exploited be a resource exploited , no topic world health organization function information technology information technology be imperative mood that we be afford the same equity and opportunity to underrepresented group angstrom to majority group",4,3,0,18,0,0,0,2,0,0
Negativo, the city of tucson must provide support to their legal citizen ahead support broadcast for refugee and illegal immigrant,1,2,1,8,0,1,1,1,0,0
Negativo," the city should beryllium careful of try to clear all problem for the deprived many avail be successfully put up aside nongovernmental organization not net income information technology be not the city sulfur role to be a sociable service agency , nor to play robin hood",5,4,1,16,0,0,4,3,0,0
Negativo, my natural gas bill be systematically the most cheap poster one receive why aren thyroxine there more doubt along affordability,1,3,0,7,0,1,2,0,0,0
Negativo, catch planting palo verde tree in the city because many multitude equal allergic to them,1,3,0,5,0,0,0,1,0,0
Negativo," what do you beggarly by `` promote   volunteer tax bonus again , your language be therefore fabulously fuzzed i see this a more of the same government palaver design to make information technology expression like person be cause something , to make information technology possible to own meet , committee , and document publish , to catch promotion , and to achieve absolutely nothing for the people",4,4,0,22,1,1,5,5,0,0
Negativo, i don thyroxine see how a massive tree establish broadcast for the city toilet ever be successful until a solution for this problem exist recover,4,4,0,7,0,0,1,0,0,0
Negativo, no grass orpine tree,1,0,0,3,0,0,0,0,0,0
Negativo, this web site make information technology search deoxyadenosine monophosphate if compost computerized tomography be now partner with the city somehow and that some special people toilet carry their pine away to somewhere oregon other what about expand this and advertising information technology in the water bill,5,3,0,17,1,1,3,1,1,0
Negativo, three einsteinium water scooter litter the landscape and sidewalk and be not a good solution for many of united states extend the light fulminate better the bus service and advertise information technology,4,5,0,10,1,0,1,0,0,0
Negativo, i feel this whole survey and the mayor second attempt to give government excessively much outer space indium our life be not at all beneficial to tucsonans about of these publish should not exist address by politics,4,4,1,9,3,1,3,2,0,0
Negativo, i believe that climate transfer be a farce any happen to the skill and iodine resent the mayor second attempt to construct everything into a race topic united states be not a communist country and this be what this mayor wish for united states,8,5,0,14,2,0,1,2,0,0
Negativo," there be a legal method of insert the unite country and this mayor promote refuge city etc , show her complete neglect for the constitution and american citizen",4,5,0,9,0,1,1,0,0,0
Negativo," tree ask besides a lot water and the root impact sewer line food and waste be want inch our garbage to promote the dislocation of garbage in our landfill one will put solar dialog box in when the lightweight , deoxyadenosine monophosphate thin arsenic a while of tinfoil , cheap panel become available",5,8,1,20,0,2,0,1,1,0
Negativo, one would comparable to see the commuter car taiwan consume that equal little barrage powered car advertise,1,2,1,7,0,0,0,1,0,1
Negativo, program that assistant resident and commercial owner abridge water system practice,0,2,0,6,0,0,0,0,0,1
Negativo, iodine suffice my own part all other citizen and clientele should do their own depart angstrom good they displace,1,4,1,6,0,2,0,0,0,0
Negativo, my wife and one be both handicap senior,1,1,0,2,0,1,0,0,0,0
Negativo," i megabyte not indicate barely the low hang yield , merely practice observe and publicize any success tucson equal a complex community with resident of many background , charge of education , age , income , ethnicity and early variable",3,5,1,16,0,0,3,0,0,0
Negativo," deplorably , the unharmed state exist polarize with some people reject climate science the city south campaign will necessitate to be nuanced and inclusive good fortune",3,3,1,9,1,0,1,1,0,0
Negativo," common sense be hard to find recycle phoenix barren water system , plant tree , harvest sun and rain , electrify bus route no barrage wear t arrange along a super hero cape and roller out black policy inch the identify of the environment",4,6,0,19,1,0,1,1,0,0
Negativo, why do hoa sulfur induce more agency than the city,1,0,0,2,0,0,0,0,0,0
