answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
promoting local food production for individual households will improve food security and reduce our community s carbon footprint  ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02948281 0.97051719],[0. 1.],[0.34416924 0.65583076],[0.14634787 0.85365213],[0. 1.],[0.12857143 0.87142857],[0.01998287 0.98001713],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04667917 0.95332083]
"explain why things are being changed, to create buy in from the community  ",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02324045 0.97675955],[0. 1.],[0.34414701 0.65585299],[0.1501864 0.8498136],[0. 1.],[0.2 0.8],[0.0169901 0.9830099],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04078613 0.95921387]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.07990512 0.92009488],[0.33333333 0.66666667],[0.34414236 0.65585764],[0.37733126 0.62266874],[0. 1.],[0.23333333 0.76666667],[0.12840821 0.87159179],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.18254208 0.81745792]
the city needs more open green spaces where trees can grow  our green space % is awful  this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02134739 0.97865261],[0.33333333 0.66666667],[0.34414236 0.65585764],[0.29024361 0.70975639],[0. 1.],[0. 1.],[0.00934985 0.99065015],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.01771836 0.98228164]
reverse descrimation is still descrimination and just as wrong as any descriminating!,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02075539 0.97924461],[0. 1.],[0.34414268 0.65585732],[0.18270442 0.81729558],[0. 1.],[0.12857143 0.87142857],[0.01806898 0.98193102],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.03851008 0.96148992]
no grass orpine trees,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.97083347 0.02916653],[0.66666667 0.33333333],[0.33632746 0.66367254],[0.85651539 0.14348461],[1. 0.],[0.82857143 0.17142857],[0.96831925 0.03168075],[1.00000000e+00 2.22044605e-16],[1. 0.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.93218628 0.06781372]
stop doing feel good stuff and hire more police to take care of the poor service in tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.01511457 0.98488543],[0. 1.],[0.34414237 0.65585763],[0.12234111 0.87765889],[0. 1.],[0.1 0.9],[0.01000429 0.98999571],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02189026 0.97810974]
"tree planting, green space, restrict new development that requires new water use",1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02411615 0.97588385],[0. 1.],[0.34414824 0.65585176],[0.15507374 0.84492626],[0. 1.],[0.02857143 0.97142857],[0.01975084 0.98024916],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04270545 0.95729455]
gratitude for the survey and the efforts of mayor and council ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.03150815 0.96849185],[0. 1.],[0.34440465 0.65559535],[0.16031238 0.83968762],[0. 1.],[0.07222222 0.92777778],[0.02589965 0.97410035],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.06032376 0.93967624]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.0568386 0.9431614],[0. 1.],[0.34414236 0.65585764],[0.2673499 0.7326501],[0. 1.],[0.07222222 0.92777778],[0.03112384 0.96887616],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.06765036 0.93234964]
work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02292698 0.97707302],[0. 1.],[0.34416206 0.65583794],[0.13566767 0.86433233],[0. 1.],[0.03333333 0.96666667],[0.02107742 0.97892258],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.04435232 0.95564768]
we have got to stop wasting water  tucson will be a ghost town if we run out of water  let s start with changing our toilet habits to dry composting  or flush toilets with waste water from sink showers ,1,1,1,1,1,1,1,1,1,1,-1,1,1,[0.02405363 0.97594637],[0. 1.],[0.34414236 0.65585764],[0.21415802 0.78584198],[0. 1.],[0. 1.],[0.01231512 0.98768488],[2.22044605e-16 1.00000000e+00],[0. 1.],[nan nan],[1.54489359e-05 9.99984551e-01],[0.02537609 0.97462391]
"common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries  don t put on a super hero cape and roll out disastrous policies in the name of the environment ",-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,[0.96276431 0.03723569],[0.66666667 0.33333333],[0.34414236 0.65585764],[0.6435649 0.3564351],[1. 0.],[0.8875 0.1125],[0.91152479 0.08847521],[1.00000000e+00 2.22044605e-16],[0. 1.],[nan nan],[9.99971983e-01 2.80170609e-05],[0.87676841 0.12323159]
