answer,sentiment,linear_svm,nearest_neighbors,rbf_svm,gaussian_process,decision_tree,random_forest,neural_net,ada_boost,naive_bayes,qda,gradient_boosting,logistic_regression,linear_svm_proba,nearest_neighbors_proba,rbf_svm_proba,gaussian_process_proba,decision_tree_proba,random_forest_proba,neural_net_proba,ada_boost_proba,naive_bayes_proba,qda_proba,gradient_boosting_proba,logistic_regression_proba
" tree ask besides a lot water and the root impact sewer line food and waste be want inch our garbage to promote the dislocation of garbage in our landfill one will put solar dialog box in when the lightweight , deoxyadenosine monophosphate thin arsenic a while of tinfoil , cheap panel become available",-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98740284 0.01259716],[0. 1.],[0.48399565 0.51600435],[0.49418087 0.50581913],[1. 0.],[0.88148148 0.11851852],[0.99823063 0.00176937],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.99156519 0.00843481]
"in equity can we all tackle climate and resilience challenges in a united and effective front  in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need ",1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01449545 0.98550455],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.5159004 0.4840996],[0. 1.],[0.2 0.8],[0.01014952 0.98985048],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.02530891 0.97469109]
 what do supply benefit to historically deprived group intend racial equity for the environment unclear of how this be implement oregon how information technology would impact any decision embody make,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.9886306 0.0113694],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.50586372 0.49413628],[1. 0.],[0.85625 0.14375],[0.99856153 0.00143847],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.9912792 0.0087208]
 program that assistant resident and commercial owner abridge water system practice,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98523119 0.01476881],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.53758242 0.46241758],[1. 0.],[0.75 0.25],[0.99188253 0.00811747],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.9734814 0.0265186]
 catch planting palo verde tree in the city because many multitude equal allergic to them,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98351996 0.01648004],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.52462375 0.47537625],[1. 0.],[0.918438 0.081562],[0.98529724 0.01470276],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.96331289 0.03668711]
" deplorably , the unharmed state exist polarize with some people reject climate science the city south campaign will necessitate to be nuanced and inclusive good fortune",-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98802202 0.01197798],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.49302044 0.50697956],[1. 0.],[0.88148148 0.11851852],[0.99796327 0.00203673],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.98963182 0.01036818]
"tree planting, green space, restrict new development that requires new water use",1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.02204474 0.97795526],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.51613137 0.48386863],[0. 1.],[0.1 0.9],[0.06173187 0.93826813],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.09106822 0.90893178]
thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson ,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01641367 0.98358633],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.5463323 0.4536677],[0. 1.],[0.2 0.8],[0.02093716 0.97906284],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.04200064 0.95799936]
 this web site make information technology search deoxyadenosine monophosphate if compost computerized tomography be now partner with the city somehow and that some special people toilet carry their pine away to somewhere oregon other what about expand this and advertising information technology in the water bill,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.99015295 0.00984705],[0. 1.],[0.48399565 0.51600435],[0.49989946 0.50010054],[1. 0.],[0.9 0.1],[9.99089989e-01 9.10010642e-04],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.99284946 0.00715054]
"the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01136698 0.98863302],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.5 0.5],[0. 1.],[0.1 0.9],[0.01994914 0.98005086],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.0685024 0.9314976]
"i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste ",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01434229 0.98565771],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.49999386 0.50000614],[0. 1.],[0.3 0.7],[0.02652136 0.97347864],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.04940782 0.95059218]
i would like to make a green space in the facinity of my own home and take responsibility into my own hands,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02079309 0.97920691],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.48908499 0.51091501],[0. 1.],[0.23411306 0.76588694],[0.04386499 0.95613501],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.06489142 0.93510858]
"i already have solar panels, i have several citrus trees and many rose bushes  i do what i can",1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02105256 0.97894744],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.48518455 0.51481545],[0. 1.],[0.15 0.85],[0.03820993 0.96179007],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.05245412 0.94754588]
what does your race have to do with climate change  i look forward to the sun and heat so i can get a nice tan,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98710194 0.01289806],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.53281752 0.46718248],[1. 0.],[0.75 0.25],[0.99018662 0.00981338],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.97321957 0.02678043]
thank you for implementing this! i am very appreciative! i look forward in getting involved ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.02087754 0.97912246],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.47728094 0.52271906],[0. 1.],[0.418438 0.581562],[0.02882936 0.97117064],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.05100162 0.94899838]
maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees ,1,1,1,1,1,1,1,1,1,1,1,1,1,[0.01729937 0.98270063],[0. 1.],[0.48399565 0.51600435],[0.43886345 0.56113655],[0. 1.],[0.05 0.95],[0.01703151 0.98296849],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.03266407 0.96733593]
the city of tucson must provide support to their legal citizens before supporting programs for refugees and illegal immigrants,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98052848 0.01947152],[0.33333333 0.66666667],[0.48399565 0.51600435],[0.47636544 0.52363456],[1. 0.],[0.6 0.4],[0.95897368 0.04102632],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.9190256 0.0809744]
i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government ,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98398986 0.01601014],[0. 1.],[0.48399565 0.51600435],[0.46661393 0.53338607],[1. 0.],[0.55 0.45],[0.98579052 0.01420948],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.96365837 0.03634163]
thank you for the survey ,1,1,-1,1,-1,1,1,1,1,1,1,1,1,[0.01652014 0.98347986],[1. 0.],[0.48399565 0.51600435],[0.59238428 0.40761572],[0. 1.],[0.25263158 0.74736842],[0.06536171 0.93463829],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.0502546 0.9497454]
 endow in a green infrastructure will result in job which volition avail the economy,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,[0.98254703 0.01745297],[1. 0.],[0.48399363 0.51600637],[0.58293313 0.41706687],[1. 0.],[0.95263158 0.04736842],[0.98183048 0.01816952],[1.00000000e+00 2.22044605e-16],[1. 0.],[1. 0.],[9.99977416e-01 2.25837616e-05],[0.95685985 0.04314015]
i live in barrio viejo and would love to see all of the above  we need sidewalks walking paths and shade  a community garden with rentable plots like in other cities would be welcomed ,1,1,-1,1,1,1,1,1,1,1,1,1,1,[0.0130675 0.9869325],[0.66666667 0.33333333],[0.48399565 0.51600435],[0.49852533 0.50147467],[0. 1.],[0.2 0.8],[0.00752285 0.99247715],[2.22044605e-16 1.00000000e+00],[0. 1.],[0. 1.],[2.12159027e-05 9.99978784e-01],[0.01940879 0.98059121]
