question_number|sentiment|answer|length|cc|vbp|cd|dt|ex|fw|inn|jj|jjr|jjs|ls|md|nn|nns|nnp|nnps|pdt|posss|prp|rb|rbr|rp|to|uh|vb|vbd|vbg|vbn|vbz|wdt|wp|wps|wrb|pos_length|neg_length|pos_acumulado|neg_acumulado|polarity|cant_caracteres
2|Positive|better drought emergency preparednessâ  put in mandatory measures at lower drought stages, to better prepare tucson residents for potential water shortages  |21|0|0|0|0|0|0|3|3|2|0|0|0|5|4|0|0|0|0|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|2|0|1.0|0|0.3333333333333333|157
2|Positive|far more extensive public involvement in climate change planning  |9|0|0|0|0|0|0|1|2|0|0|0|0|4|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0.6|0|0.15|66
2|Positive|enhanced city county cooperation and coordination on climate planning  |9|1|0|0|0|0|0|1|0|0|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0.0|71
2|Negative|donâ  t count on tree planting as a panacea |9|0|0|0|1|0|0|2|1|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|44
2|Neutral|what does provide benefits to historically disadvantaged groups mean  racial equity for the environment  unclear of how this is implemented or how it would impact any decisions being made |29|1|1|0|3|0|0|2|1|0|0|0|1|3|3|0|0|0|0|0|1|0|0|1|0|3|1|0|2|2|0|1|0|2|0|1|0|-0.3125|-0.15625|188
2|Positive|need residential solar subsidies and more smaller housing options around 1100 1500 sq feet  not multi family |17|1|0|2|0|0|0|1|2|2|0|0|0|4|3|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0.5|0|0.25|109
2|Negative|the city needs more open green spaces where trees can grow  our green space % is awful  |16|0|0|0|1|0|0|0|4|0|0|0|1|3|2|0|0|0|0|1|0|1|0|0|0|1|0|0|0|2|0|0|0|1|1|3|0.5|-1.4|-0.18|88
2|Positive|this greening would reduce the heat island effect  the domino of lowering our cooling energy needs which lowers polluting emissions from power |22|0|0|0|3|0|0|2|0|0|0|0|1|7|3|0|0|0|0|1|0|0|0|0|0|1|3|0|0|0|1|0|0|0|0|0|0|0|0.0|143
2|Negative|water is the  1 long term concern, but not due to this  we need a state wide solution  look to israel  we need to take phoenix s waste water, treat it and have farmers irrigate with that instead of the potable water they steal |44|2|4|1|5|0|0|2|4|0|0|0|0|11|2|0|0|0|0|0|2|0|0|3|0|3|0|0|0|1|0|0|0|0|0|4|0|-0.47500000000000003|-0.07187500000000001|227
2|Positive|have a volunteer base who can help teach these strategies, so they can apply them within the community  have a volunteer group receiving az benefits such as unemployment, be required to learn and implement some of these strategies within our city  |41|1|1|0|6|0|0|5|2|0|0|0|2|7|3|0|0|0|0|1|0|0|0|1|0|7|1|0|1|0|0|1|0|0|0|1|0|-0.8|-0.4|248
2|Positive|explain why things are being changed, to create buy in from the community |13|0|1|0|1|0|0|2|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|3|1|0|1|0|0|0|0|1|0|0|0|0|0.0|74
3|Positive|a resource used is a resource used, no matter who uses it  it is imperative that we are affording the same equities and opportunities to underrepresented groups as to majority groups  in equity can we all tackle climate and resilience challenges in a united and effective front  |47|3|2|0|6|0|0|4|5|0|0|0|1|8|5|0|0|0|0|0|0|0|0|2|0|0|1|0|2|3|0|1|0|0|1|0|0.6|0|0.3|279
3|Positive|in addition, i strongly encourage implementing food waste reduction plans to simultaneously reduce demands on landfills while feeding those in need  |21|0|1|0|1|0|0|4|1|0|0|0|0|5|3|0|0|0|0|0|2|0|0|1|0|1|2|0|0|0|0|0|0|0|1|1|0.4333333333333333|-0.2|0.11666666666666664|149
3|Positive|also, i support tree planting re greening but must emphasize it be planned in collaboration with ecologists botanists so that a  appropriate species and b  appropriate localities for growth be maximized |31|2|0|0|1|0|0|4|4|0|0|0|1|5|4|0|0|0|0|0|2|0|0|0|0|4|1|0|2|0|0|0|0|0|2|0|1.0|0|0.5|203
3|Negative|the city of tucson must provide support to their legal citizens before supporting programs for â  refugees and illegal immigrants â  |21|1|1|0|1|0|0|3|3|0|0|0|1|3|4|0|0|0|0|1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|2|1|0.45|-0.5|-0.016666666666666663|133
3|Positive|our homelessness issues are more complex than supporting affordable housing  increased mental health public health options for the homeless  or nearly homeless  need to be available  also, public showers, places where people can get clean clothes, counciling, etc  and understanding the many types of homeless people |46|2|1|0|2|0|1|3|9|0|0|0|1|7|8|0|0|0|0|1|2|1|0|1|0|2|3|0|0|0|0|0|0|1|6|2|2.1166666666666667|-0.4|0.1716666666666667|317
3|Positive|step 1  transparency, honesty and equity in the bid and contracting process for all departments  |15|2|0|1|2|0|0|2|0|0|0|0|0|7|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|97
3|Negative|reverse descrimation is still descrimination and just as wrong as any descriminating!|12|1|0|0|1|0|0|1|2|0|0|0|0|3|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|-0.5|-0.625|85
3|Positive|have more programs like las milpitas that s through the food bank  while there are community gardens around town, they are expensive and not very accessible  promoting local food production for individual households will improve food security and reduce our community s carbon footprint |44|2|4|0|1|1|0|5|4|0|0|0|1|11|5|0|0|0|0|1|2|1|0|0|0|3|1|0|0|0|1|0|0|0|3|1|1.075|-0.5|-0.028846153846153844|287
3|Negative|the city should be careful of trying to solve all problems for the disadvantaged  many services are successfully provided by ngos non profits  it is not the city s role to be a social service agency, nor to play robin hood |41|1|1|0|5|0|0|3|6|0|0|0|1|7|3|0|0|0|0|0|2|0|0|3|0|4|1|0|2|1|0|0|0|0|3|1|1.2833333333333334|-0.1|0.29583333333333334|223
3|Neutral|i support human development, not segregated development  we are all one on this planet and anyone trying to put us against each other is not for human kind but for him or her self  we have to stop the madness of bashing each other and come together for a great tucson future |52|4|2|1|6|0|0|6|5|0|0|0|0|11|0|0|0|0|0|1|3|0|0|2|0|3|2|0|1|1|0|0|0|0|2|2|1.4|-0.25|0.16428571428571428|275
3|Positive|affordability  we need to protect the most vulnerable populations by providing affordable essential services  you cannot just charge people so much for energy  rooftop solar is great  it s also very expensive  my natural gas bill is consistently the most inexpensive bill i get  why aren t there more questions on affordability |53|0|2|0|2|0|0|3|9|0|0|0|1|10|4|0|0|0|0|1|7|1|0|1|0|1|1|0|0|4|0|0|0|1|8|2|3.05|-1.0|0.16999999999999998|328
3|Negative|low income neighborhoods should not be the only focus of tree planting and cool roof pavements  this is a city wide proplemsand all areas of tucson need to be implemented with these infrastructures  why would this include only low income areas |41|1|1|0|6|0|0|3|6|0|0|0|2|8|5|0|0|0|0|0|2|0|0|1|0|3|0|0|1|1|0|0|0|1|1|1|0.35|-0.1|0.041666666666666664|244
4|Negative|stop planting palo verde trees in the city because many people are allergic to them  |15|0|1|0|1|0|0|2|3|0|0|0|0|3|2|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0.5|0|0.5|85
4|Positive|what do you mean by "promote"  offering tax incentives  |9|0|1|0|0|0|0|1|0|0|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|-0.3125|-0.3125|56
4|Negative|again, your language is so incredibly fuzzy  i see this as more of the same government rhetoric designed to make it look like someone is doing something, to make it possible to have meetings, committees, and papers written, to get publicity, and to accomplish absolutely nothing for the people |49|2|1|0|3|0|0|4|3|1|0|0|0|8|4|0|0|0|0|1|4|0|0|5|0|6|1|0|2|2|0|0|0|0|3|0|1.5999999999999999|0|0.31999999999999995|294
4|Positive|work with hoas that require plants to either reduce required number of plants and or promote desert plants that do not use much water  more regulation on golf courses that are using large amounts of water  |36|2|2|0|1|0|0|4|3|1|0|0|0|8|5|0|0|0|0|0|1|0|0|1|0|3|1|0|0|1|3|0|0|0|3|0|0.9142857142857143|0|0.30476190476190473|206
4|Positive|reduce cost of solar panels  work with hoas to promote use of solar panels |14|0|1|0|0|0|0|3|2|0|0|0|0|2|3|0|0|0|0|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0.0|75
4|Neutral|china changes out electric car batteries at changing stations which eliminates waiting long periods to charge and the need for a huge number of charging stations  |26|1|0|0|2|0|0|3|2|0|0|0|0|4|5|0|0|0|0|0|1|0|1|1|0|1|3|0|0|1|1|0|0|0|1|1|0.4000000000000001|-0.05|0.17500000000000004|163
4|Positive|roller shields and solar tube lighting should be promoted |9|1|0|0|0|0|0|0|1|0|0|0|1|3|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0.0|58
4|Positive|the best way a government can facilitate equity in a society is by providing an excellent public education to every one  not only k 12 but also community college  they should be subsidized by the government so that the society will have the types of workers it will need in the present and future, whether it is a construction occupation, a computer tech, or a medical role, and so that young people may find productive ways to make a living |80|4|0|2|13|0|0|9|7|0|1|0|5|15|4|0|0|0|0|0|4|0|0|2|0|7|1|0|1|2|0|0|0|0|3|0|2.1|0|0.2625|442
4|Negative|it seems to me that the reason some parts of town are so barren is that the residents are low income and do not have the disposable income to use to pay for more than the bare minimum of water  i don t see how a massive tree planting program for the city can ever be successful until a solution for this problem is found  |65|1|4|0|9|0|0|9|6|1|0|0|1|13|2|0|0|0|0|0|3|0|0|3|0|5|1|0|1|3|0|0|0|1|3|0|1.3|0|0.26|322
4|Positive|maybe start with drought adapted native street trees that are watered at city expense  or charge low income residents low water fees if they plant desert trees |27|1|1|0|0|0|0|3|3|0|0|0|0|10|4|0|0|0|0|0|1|0|0|0|0|0|0|0|2|0|1|0|0|0|0|0|0|0|0.0|160
4|Negative|no grass orpine trees|4|0|0|0|1|0|0|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|21
4|Positive|legalize and promote humanure  composting of human waste on site rather than flushing 10 gallons of precious drinking water a day! |21|1|0|1|1|0|0|4|3|0|0|0|0|8|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0.5|-0.2|0.14166666666666666|131
4|Positive|green buildings  living walls, rooftop gardens, local energy production, local water and energy reuse |14|1|0|0|0|0|0|0|3|0|0|0|0|6|3|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|-0.2|-0.06666666666666667|102
4|Negative|please discourage planting green grass in a desert and stop planting new green grass in unnecessary places  green grass is awful, non native and uses so much water  |28|2|0|0|1|0|0|2|9|0|0|0|0|7|1|0|0|0|0|0|1|0|0|0|0|1|2|0|0|2|0|0|0|0|2|5|0.33636363636363636|-2.0|-0.23766233766233769|165
4|Positive|native landscaping uses much less water, and still provides cooling effects, co2 exchange and shade |15|2|0|0|0|0|0|0|3|1|0|0|0|4|1|0|0|0|0|0|2|0|0|0|0|0|0|0|0|2|0|0|0|0|1|1|0.2|-0.16666666666666666|-0.16666666666666666|100
5|Negative|1  recycling and composting  i do recycle plastic  as allowed , newspapers, office paper, mailings, cardboard  i also am collecting glass to take to the ward 6 office for recycling  and i take my grocery store plastic bags back to the grocery store in case they really do recycle them  i do not compost because i don t have a use for it  i m concerned that a city wide compost pick up system would end up with a lot of non compostable waste, cause problems with some of our urban wildlife such as javelinas, and not be picked up often enough  instead    if there was a place close to me that i could take compostable waste  food waste, yard waste  and that place was open several days a week    i would collect my compostable waste and take it there  i think the ua compost cats had a place that one can take compost    but it looks as if is shut down  this website makes it look as if compost cats is now partnering with the city somehow and that some special people can take their waste to someplace or other  what about expanding this  and advertising it in the water bill   |201|9|8|3|16|1|0|22|13|0|0|0|5|46|13|0|0|0|0|4|13|0|4|5|0|13|4|0|3|6|0|1|0|0|2|9|0.5571428571428572|-1.5805555555555555|-0.06020074696545284|1133
5|Negative|2  restaurants and take out    it would be great if the city would encourage restaurants and take out places to use compostable containers  during this pandemic, i am trying to support the local restaurants that i used to go to for sit down dining, coffee, etc   and want to continue to go to!  however, the containers the food comes in is often styrofoam or plastic containers  i don t have a use for the styrofoam cups and containers    and i am drowning in lidded plastic containers  i wish i knew of a place to give the plastic containers away    i have way more than i need to store food, keep leftovers, etc  and putting those reusable plastic containers into the recycle seems a terrible waste |125|7|10|1|12|0|2|10|11|1|0|0|2|16|14|0|0|0|0|0|4|0|3|9|0|14|3|0|1|3|0|0|0|0|2|3|1.3|-1.3555555555555556|-0.015740740740740732|702
5|Negative|3  e scooters litter the landscape and sidewalks and are not a good solution for many of us  expand the light rail  improve the bus service and advertise it |29|3|3|1|4|0|0|2|3|0|0|0|0|6|2|0|0|0|0|0|1|0|0|0|0|2|0|0|0|0|0|0|0|0|3|0|1.6|0|0.18333333333333335|157
5|Negative|4  buses    fix the shade structures at bus stops  have you looked at those upside down umbrellas at bus stops along the expanded grant road project west of first euclid  whenever i pass them, there is no shade under them  stop installing non functioning architectural wonders by bus stops and put in real shade structures instead  those blue coated metal shade structures do provide shade for much of the day  think about revising those or re orienting them so they offer shade throughout the day  if you want to increase bus ridership, do something so people don t bake in our desert sun while they wait for the bus |109|2|10|1|9|1|0|17|11|0|0|0|0|22|10|0|0|0|0|1|3|0|0|1|0|5|4|0|4|1|0|0|0|0|3|1|0.65|-0.15555555555555559|0.09888888888888889|618
5|Negative|i feel this whole survey and the mayor s attempts to give government too much space in our lives is not at all beneficial to tucsonans  most of these issues should not be addressed by government  i believe that climate change is a farce  whatever happened to the science   and i resent the mayor s attempts to make everything into a race issue  america is not a communist country and this is what this mayor wants for us  there is a legal method of entering the united states and this mayor encourages sanctuary cities etc, showing her complete disregard for the constitution and american citizens |105|5|4|0|15|1|0|9|10|0|1|0|1|24|8|0|0|0|0|2|4|0|0|4|0|3|2|0|1|7|1|1|0|0|6|1|1.4000000000000001|-0.4|0.12499999999999999|598
5|Negative|trees require too much water and the roots impact sewer lines  |11|1|2|0|1|0|0|0|1|1|0|0|0|1|3|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.2|0|0.2|63
5|Positive|food and waste is needed in our garbage to promote the breakdown of garbage in our landfills  |17|1|0|0|1|0|0|3|0|0|0|0|0|5|1|0|0|0|0|2|0|0|0|1|0|1|0|0|1|1|0|0|0|0|0|1|0|-0.2|-0.2|94
5|Positive|i will put solar panels in when the lightweight, as thin as a piece of tinfoil, inexpensive panels become available  |20|0|1|0|2|0|0|3|4|0|0|0|1|4|2|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|1|0.4|-0.4|0.0|117
5|Positive|i would like to see the commuter cars china has that are small battery powered cars promoted |17|0|2|0|1|0|0|0|2|0|0|0|1|3|2|0|0|0|0|0|0|0|0|1|0|2|0|0|0|1|1|0|0|0|0|1|0|-0.25|-0.25|93
5|Positive|programs that help residents and commercial owners reduce water use |10|1|1|0|0|0|0|0|1|0|0|0|0|2|3|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0.0|68
5|Positive|i do my own part  all other citizens and businesses should do their own part as best they can  |19|1|1|0|1|0|0|2|3|0|0|0|2|3|2|0|0|0|0|2|0|0|0|0|0|1|0|0|0|0|0|0|0|0|3|1|2.2|-0.125|0.51875|95
5|Neutral|my wife and i are both handicapped seniors|8|1|1|0|1|0|0|0|1|0|0|0|0|2|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|42
5|Positive|i live in barrio viejo and would love to see all of the above  |14|1|1|0|2|0|0|2|1|0|0|0|1|3|0|0|0|0|0|0|0|0|0|1|0|2|0|0|0|0|0|0|0|0|2|0|0.6363636363636364|0|0.21212121212121213|63
5|Positive|we need sidewalks walking paths and shade  |7|1|1|0|0|0|0|0|0|0|0|0|0|1|2|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0.0|43
5|Positive|a community garden with rentable plots like in other cities would be welcomed |13|0|0|0|1|0|0|3|2|0|0|0|1|2|2|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|1|0|-0.125|-0.125|78
5|Positive|i would like to make a green space in the facinity of my own home and take responsibility into my own hands|22|1|0|0|2|0|0|3|3|0|0|0|1|5|1|0|0|0|0|2|0|0|0|1|0|3|0|0|0|0|0|0|0|0|2|1|1.2|-0.2|0.3333333333333333|107
5|Positive|i will vote for whomever has the strongest most intelligent approach to preparing us for environmental disaster before it happens  |20|0|0|0|1|0|0|3|2|0|1|0|1|3|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|2|1|0|0|0|2|0|1.3|0|0.65|131
5|Positive|i already have solar panels, i have several citrus trees and many rose bushes  i do what i can |19|1|3|0|0|0|0|0|4|0|0|0|1|2|4|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|2|0|1.1|0|0.3666666666666667|95
6|Negative|water is a much bigger problem than this survey really allowed for  please take into account the reality of our overuse of water and the decreasing availability of itâ  there wonâ  t be more for us to take eg from the colorado|42|1|0|0|5|1|0|8|1|2|0|0|0|13|0|0|0|0|0|1|2|0|0|1|0|3|0|0|1|2|0|0|0|0|3|0|0.9|0|0.2333333333333333|226
6|Positive|i m not suggesting just the low hanging fruit, but do celebrate and publicize any successes  tucson is a complex community with residents of many backgrounds, levels of education, age, income, ethnicity and other variables  sadly, the whole country is polarized with some people rejecting climate science  the city s effort will need to be nuanced and inclusive  good luck |60|4|2|0|6|0|0|4|7|0|0|0|1|15|7|0|0|0|0|0|3|0|0|1|0|4|2|0|2|2|0|0|0|0|3|3|1.4|-0.925|0.06785714285714285|373
6|Positive|hiring and training landscape crews that know how to properly prune native trees and shrubs, maintain native landscape and identify native plants |22|3|1|0|0|0|0|1|4|0|0|0|0|4|3|0|0|0|0|0|0|0|0|1|0|3|0|0|0|1|0|0|0|1|0|0|0|0|0.0|146
6|Positive|thank you for implementing this! i am very appreciative! i look forward in getting involved |15|0|2|0|1|0|0|2|2|0|0|0|0|2|0|0|0|0|0|0|2|0|0|0|0|0|2|0|1|0|0|0|0|0|2|0|0.8|0|0.9750000000000001|92
6|Positive|common sense is hard to find  reuse phoenix waste water, plant trees, harvest sun and rain, electrify bus routes  no batteries   |21|1|0|0|1|0|0|0|3|0|1|0|0|8|2|0|0|0|0|0|0|0|0|1|0|2|0|0|0|2|0|0|0|0|0|3|0|-0.7916666666666667|-0.2638888888888889|130
6|Negative|don t put on a super hero cape and roll out disastrous policies in the name of the environment  |19|1|0|0|3|0|0|3|2|0|0|0|0|7|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0.3333333333333333|-0.7|-0.18333333333333332|96
6|Neutral|why do hoa s have more authority than the city |10|0|2|0|1|0|0|1|0|1|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|0.5|0|0.5|47
6|Neutral|thank you for the survey  |5|0|0|0|1|0|0|1|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|26
6|Positive|thank you for your progressive policies  this is one of the big reasons why i decided to move my family to tucson  |22|0|0|1|2|0|0|2|2|0|0|0|0|3|2|0|0|0|0|2|0|0|0|2|0|2|0|0|0|1|0|0|0|1|0|0|0|0|0.0|115
6|Positive|keep using social media to promote existing cot rebate and other programs, it s an easy way to get the word out  thank you for planning for our future  people and planet   not profit!|34|2|0|0|2|0|0|2|5|0|0|0|0|6|3|0|0|0|0|1|1|0|1|2|0|3|3|0|0|0|0|0|0|0|2|1|0.4666666666666667|-0.125|0.08541666666666667|183
6|Positive|gratitude for the survey and the efforts of mayor and council  |11|2|0|0|2|0|0|2|0|0|0|0|0|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|63
